NUM,DISTRITO,NOMBRE,ELECTO/A,VALOR,Compromiso (acepta/omite/rechaza),Genero,REGION,LISTA CANDIDATO,LISTA CANDIDATO (AGRUPADAS),FILIACION POLITICA,"Minibio (texto para escribir, incl. HTML)",Comentarios Internos Equipo,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
D06-001,6,Carolina Vilches,SI,0,acepta,Mujer,Valparaiso,Apruebo Dignidad,Apruebo Dignidad,Independiente,Geografa,,,,,,,,,,,,,,
D06-003,6,Mariela Serey,SI,0,acepta,Mujer,Valparaiso,Apruebo Dignidad,Apruebo Dignidad,Independiente,Presidenta de la Asociacion Yo Cuido,,,,,,,,,,,,,,
D06-018,6,Lisette Vergara R.,SI,0,Omite,Mujer,Valparaiso,Independientes Distrito 6 + Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,"Profesora de historia y geografia, le apuesta al desarrollo de la educacion y a representar las demandas territoriales",,,,,,,,,,,,,,
D06-019,6,Cristobal Andrade,SI,0,acepta,Hombre,Valparaiso,Independientes Distrito 6 + Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,Creador del personaje Dinoazulado. Evangelico Pentecostal. Protector medioambiental y de la lengua indigena tradicional,,,,,,,,,,,,,,
D06-028,6,Miguel Botto,SI,0,Omite,Hombre,Valparaiso,Independientes por la Nueva Constitucion,Independientes No Neutrales (UNIFICADA),Independiente,"Cantautor, emprendedor e ingeniero comercial con Master en Gestion Educacional. Consultor de emprendimiento y liderazgo a empresas en el ambito educacional e inmobiliario",,,,,,,,,,,,,,
D06-041,6,Claudio Gomez,SI,0,acepta,Hombre,Valparaiso,Lista del Apruebo,Lista del Apruebo,Independiente,"Master en Sociedad Democratica, Estado y Derecho  Profesor Derecho Politico y Dirigente Social",https://www.youtube.com/watch?v=BbYVWf4Q2cI,,,,,,,,,,,,,
D06-051,6,Janis Meneses,SI,0,acepta,Mujer,Valparaiso,Movimientos Sociales Independientes,Movimientos Sociales Independientes,Independiente,"trabajadora social, vocera de la Asamblea Vecinal los Pinos, Quilpue.",,,,,,,,,,,,,,
D06-064,6,Ruggero Cozzi,SI,0,Omite,Hombre,Valparaiso,Vamos por Chile,Vamos por Chile,Renovacion Nacional,"Abogado y Profesor de Derecho Internacional y DD.HH - Ex dirigente estudiantil de 
@SolidaridadUC",,,,,,,,,,,,,,
D07-002,7,Jaime Bassa,SI,0,acepta,Hombre,Valparaiso,Apruebo Dignidad,Apruebo Dignidad,Independiente,"Doctor en Derecho. Biografia. Abogado, Pontificia Universidad Catolica de Chile. Profesor jornada completa en la U. de Valparaiso","No encontre programa, pero existen declaraciones de la importancia de la recuperacion del agua como bien publico.",,,,,,,,,,,,,
D07-005,7,Maria Jose Oyarzun,SI,0,acepta,Mujer,Valparaiso,Apruebo Dignidad,Apruebo Dignidad,Revolucion Democratica,"Profesora de filosofia, feminista y activista",,,,,,,,,,,,,,
D07-017,7,Camila Zarate,SI,0,acepta,Mujer,Valparaiso,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,"Dirigente ambiental, animalista y ecofeminista",https://docs.google.com/forms/d/e/1FAIpQLSf6Q40qtCEaogrPQs_3-r3SCfFK_5VTKP4tjptxDfIPMXeygQ/viewform,,,,,,,,,,,,,
D07-019,7,Tania Madriaga,SI,0,acepta,Mujer,Valparaiso,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,Sociologa (U de Concepcion) y magister en Ciencias Sociales con mencion en Sociologia de la Modernizacion,,,,,,,,,,,,,,
D07-030,7,Agustin Squella,SI,0,acepta,Hombre,Valparaiso,Lista del Apruebo,Lista del Apruebo,Independiente,"Academico dedicado a la investigacion, abogado y peridista.",,,,,,,,,,,,,,
D07-071,7,Raul Celis Montt,SI,0,Omite,Hombre,Valparaiso,Vamos por Chile,Vamos por Chile,Renovacion Nacional,Abogado- ex Intendente de Valparaiso,,,,,,,,,,,,,,
D07-075,7,Jorge Arancibia,SI,0,Omite,Hombre,Valparaiso,Vamos por Chile,Vamos por Chile,Independiente,"Comandante en Jefe de la Armada de Chile, Senador V region, Embajador en Turquia.",,,,,,,,,,,,,,
D08-003,8,Valentina Miranda,SI,0,acepta,Mujer,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Partido Comunista de Chile,"Vocera Secundaria CONES 2019, estudiante Administracion Publica UCH, pobladora y feminista.",,,,,,,,,,,,,,
D08-007,8,Tatiana Urrutia,SI,0,Omite,Mujer,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Revolucion Democratica,Catete profesional. Feminista. Madre.,,,,,,,,,,,,,,
D08-008,8,Daniel Stingo,SI,0,Omite,Hombre,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Independiente,Abogado.,,,,,,,,,,,,,,
D08-021,8,Maria Magdalena Rivera,SI,0,Omite,Mujer,Metropolitana,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,Abogada. Dirigente del MIT.,,,,,,,,,,,,,,
D08-022,8,Marco Arellano,SI,0,acepta,Hombre,Metropolitana,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,Administrador Publico. Dirigente medioambiental de la Comuna de Quilicura,,,,,,,,,,,,,,
D08-029,8,Bessy Gallardo,SI,0,acepta,Mujer,Metropolitana,Lista del Apruebo,Lista del Apruebo,Partido Progresista de Chile,"Abogada UDLA, directora juridica de Fundacion Honra, conductora del programa ""Femy & Nacis TV"". Conferencista en Prevencion de violencia sexual y equidad de genero.",,,,,,,,,,,,,,
D08-059,8,Bernardo De La Maza,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Vamos por Chile,Independiente,Periodista,,,,,,,,,,,,,,
D09-007,9,Barbara Sepulveda,SI,0,acepta,Mujer,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Partido Comunista de Chile,"Abogada constitucionalista UChile, Magister Derecho Publico y en Genero, Profesora, Ex Directora Ejecutiva de Asociacion de Abogadas Feministas Chile",,,,,,,,,,,,,,
D09-014,9,Rodrigo Logan,SI,0,Omite,Hombre,Metropolitana,Candidatura Independiente,Candidatura Independiente,Independiente Fuera de Pacto,Abogado. Magister. Miembro del colegio de abogados. Padre.,,,,,,,,,,,,,,
D09-015,9,Alejandra Perez,SI,0,acepta,Mujer,Metropolitana,La Lista del Pueblo Distrito 9,Lista del Pueblo (UNIFICADA),Independiente,MIlitante por el acceso publico a la salud.,,,,,,,,,,,,,,
D09-019,9,Natalia Henriquez,SI,0,Omite,Mujer,Metropolitana,La Lista del Pueblo Distrito 9,Lista del Pueblo (UNIFICADA),Independiente,Medica internista.,,,,,,,,,,,,,,
D09-027,9,Cesar Valenzuela,SI,0,acepta,Hombre,Metropolitana,Lista del Apruebo,Lista del Apruebo,Partido Socialista de Chile,Abogado y Magister en Seguridad publica,,,,,,,,,,,,,,
D09-051,9,Arturo Zuñiga,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Vamos por Chile,Union Democrata Independiente,Ex Subsecretario del Ministerio de Salud,,,,,,,,,,,,,,
D10-002,10,Fernando Atria,SI,0,acepta,Hombre,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Independiente,Abogado y Profesor de la facultad de Derecho de la Universidad de Chile,,,,,,,,,,,,,,
D10-003,10,Giovanna Roa,SI,0,acepta,Mujer,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Revolucion Democratica,"Diseñadora, Feminista",,,,,,,,,,,,,,
D10-009,10,Patricia Politzer,SI,0,acepta,Mujer,Metropolitana,Independientes por la Nueva Constitucion,Independientes No Neutrales (UNIFICADA),Independiente,Periodista y escritora.,,,,,,,,,,,,,,
D10-026,10,Manuel Woldarsky,SI,0,acepta,Hombre,Metropolitana,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,"Abogado, observador de DDHH y divulgador juridico.",,,,,,,,,,,,,,
D10-034,10,Jorge Baradit,SI,0,acepta,Hombre,Metropolitana,Lista del Apruebo,Lista del Apruebo,Independiente,Escritor,,,,,,,,,,,,,,
D10-071,10,Cristian Monckeberg,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Vamos por Chile,Renovacion Nacional,"Abogado, ex ministro y diputado.",,,,,,,,,,,,,,
D10-072,10,Teresa Marinovic,SI,0,Omite,Mujer,Metropolitana,Vamos por Chile,Vamos por Chile,Independiente,Licenciada en Filosofia; Directora Ejecutiva Fundacion Nueva Mente,,,,,,,,,,,,,,
D11-001,11,Constanza Schonhaut,SI,0,acepta,Mujer,Metropolitana,Apruebo Dignidad,Apruebo Dignidad,Convergencia Social,"Abogada, activista feminista y de derechos humanos.",,,,,,,,,,,,,,
D11-020,11,Patricio Fernandez,SI,0,acepta,Hombre,Metropolitana,Lista del Apruebo,Lista del Apruebo,Independiente,"Periodista y escritor, fundador de The Clinic",,,,,,,,,,,,,,
D11-029,11,Marcela Cubillos,SI,0,Omite,Mujer,Metropolitana,Vamos por Chile,Vamos por Chile,Independiente,ex Ministra de Educacion. Profesora. Politica.,,,,,,,,,,,,,,
D11-030,11,Hernan Larrain Matte,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Vamos por Chile,Evolucion Politica,Abogado y Cientista Politico.,,,,,,,,,,,,,,
D11-032,11,Bernardo Fontaine Talavera,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Vamos por Chile,Independiente,Economista.,,,,,,,,,,,,,,
D11-035,11,Constanza Hube,SI,0,Omite,Mujer,Metropolitana,Vamos por Chile,Apruebo Dignidad,Union Democrata Independiente,profesora de derecho constitucional,,,,,,,,,,,,,,
D12-001,12,Beatriz Sanchez,SI,0,acepta,Mujer,Metropolitana,Apruebo Dignidad,Independientes No Neutrales (UNIFICADA),Independiente,"Feminista del frente amplio, periodista.",,,,,,,,,,,,,,
D12-009,12,Benito Baranda,SI,0,acepta,Hombre,Metropolitana,Independientes por una Nueva Constitucion,Independientes No Neutrales (UNIFICADA),Independiente,Psicologo,,,,,,,,,,,,,,
D12-011,12,Juan Jose Martin,SI,0,acepta,Hombre,Metropolitana,Independientes por una Nueva Constitucion,Lista del Pueblo (UNIFICADA),Independiente,Activista por el cambio climatico,,,,,,,,,,,,,,
D12-017,12,Giovanna Grandon,SI,0,acepta,Mujer,Metropolitana,La Lista del Pueblo Distrito 12,Vamos por Chile,Independiente,Conocida como la tia pikachu en las movilizaciones nacionales,,,,,,,,,,,,,,
D12-050,12,Manuel J. Ossandon,SI,0,Omite,Hombre,Metropolitana,Vamos por Chile,Voces Constituyentes,Independiente,,https://www.linkedin.com/in/manuel-jos%C3%A9-ossand%C3%B3n-lira-b9377573/?originalSubdomain=cl,,,,,,,,,,,,,
D12-056,12,Alondra Carrillo,SI,0,acepta,Mujer,Metropolitana,Voces Constituyentes,Apruebo Dignidad,Independiente,Militante feminista,,,,,,,,,,,,,,
D13-002,13,Marcos Barraza,SI,0,acepta,Hombre,Metropolitana,Apruebo Dignidad,Lista del Pueblo (UNIFICADA),Partido Comunista de Chile,"Psicologo, director de la escuela de Psicologia USACH. Militante comunista. Ex ministro de Desarrollo Social de Bachelet.",,,,,,,,,,,,,,
D13-013,13,Rodrigo Rojas,SI,0,acepta,Hombre,Metropolitana,La Lista del Pueblo,Lista del Pueblo (UNIFICADA),Independiente,"Conocido como ""Pelao Vade"".",https://cancernegro.wordpress.com/,,,,,,,,,,,,,
D13-014,13,Ingrid Villena,SI,0,acepta,Mujer,Metropolitana,La Lista del Pueblo,Lista del Apruebo,Independiente,Abogada. Interesada en derecho de familia y proteccion de la infancia.,,,,,,,,,,,,,,
D13-020,13,Malucha Pinto,SI,0,acepta,Mujer,Metropolitana,Lista del Apruebo,Apruebo Dignidad,Partido Socialista de Chile,Directora Fundacion Aracataca,,,,,,,,,,,,,,
D14-002,14,Ignacio Achurra,SI,0,acepta,Hombre,Metropolitana,Apruebo Dignidad,Independientes No Neutrales (UNIFICADA),Independiente,"Actor, director teatral y docente. Magister (c) en Artes UC. Licenciado en Artes",,,,,,,,,,,,,,
D14-007,14,Paulina Valenzuela,SI,0,acepta,Mujer,Metropolitana,Independientes por la Nueva Constitucion,Lista del Pueblo (UNIFICADA),Independiente,Profesora Gral Basica,Independiente,,,,,,,,,,,,,
D14-013,14,Francisco Caamaño,SI,0,acepta,Hombre,Metropolitana,La Lista del Pueblo,Lista del Apruebo,Independiente,Activista y divulgador medioambiental,,,,,,,,,,,,,,
D14-020,14,Renato Garin,SI,0,acepta,Hombre,Metropolitana,Lista del Apruebo,Vamos por Chile,Independiente,"Licenciado en Ciencias Juridicas y Sociales, Magister en Periodismo y Master en Legal Theory, ex profesor de derecho y Ex diputado por el mismo distrito 14",Ex militante de Revolucion Democratica - Apoya desprivatizacion del agua - Podcast: https://podcasts.google.com/feed/aHR0cHM6Ly9hbmNob3IuZm0vcy9iN2YxODA4L3BvZGNhc3QvcnNz,,,,,,,,,,,,,
D14-026,14,Claudia Castro,SI,0,acepta,Mujer,Metropolitana,Vamos por Chile,Apruebo Dignidad,Independiente,Madre y emprendedora,,,,,,,,,,,,,,
D15-003,15,Damaris Abarca,SI,0,acepta,Mujer,O'Higgins,Apruebo Dignidad,Lista del Apruebo,Independiente,Presidenta de la Federacion Chilena de Ajedrez y de AJEFEM. Deportista,Femenista,,,,,,,,,,,,,
D15-010,15,Matias Orellana,SI,0,Omite,Hombre,O'Higgins,Lista del Apruebo,Lista del Pueblo (UNIFICADA),Partido Socialista de Chile,Abogado,,,,,,,,,,,,,,
D15-015,15,Loreto Vallejos,SI,0,acepta,Mujer,O'Higgins,Lista del Pueblo 100% Independientes,Movimientos Sociales Autonomos,Independiente,"40 años, Profesora de Historia de la Pontificia Universidad Catolica de Valparaiso, Coach y Emprendedora.",,,,,,,,,,,,,,
D15-021,15,Alvin Saldaña,SI,0,acepta,Hombre,O'Higgins,Movimientos Sociales Autonomos,Vamos por Chile,Independiente,Abogado. Asesor juridico en Municipalidad de Peumo,,,,,,,,,,,,,,
D15-036,15,Carol Bown,SI,0,Omite,Mujer,O'Higgins,Vamos por Chile,Apruebo Dignidad,Union Democrata Independiente,Abogada. Ex Subsecretaria de Niñez,,,,,,,,,,,,,,
D16-004,16,Nicolas Nuñez,SI,0,Omite,Hombre,O'Higgins,Apruebo Dignidad,Lista del Pueblo (UNIFICADA),Federacion Regionalista Verde Social,Abogado. Vive en San Fernando.,,,,,,,,,,,,,,
D16-007,16,Gloria Alvarado,SI,0,acepta,Mujer,O'Higgins,Corrientes Independientes,Lista del Apruebo,Independiente,"Desde el año 1987 es Gerente de la Cooperativa de Aguas de Pataguas Cerro de la Comuna de Pichidegua. Tecnico de Nivel Superior en Administracion y Gestion de Empresas, y tiene un Diplomado en Direccion y Gestion de Empresas Cooperativas de la Universidad de Chile.",Amiga de Greenpeace. Aliada en la liucha por el agua. Apoya a las Cooperativas y Comites de Agua Potable Rural,,,,,,,,,,,,,
D16-015,16,Adriana Cancino,SI,0,Omite,Mujer,O'Higgins,Lista del Apruebo,Vamos por Chile,Independiente,Profesora en la Escuela Basica Cunaco F-461,Interesada en promover la inclusion en materia de discapacidad,,,,,,,,,,,,,
D16-034,16,Ricardo Neumann,SI,0,Omite,Hombre,O'Higgins,Vamos por Chile,Asamblea Popular por la Dignidad,Independiente,Abogado de la PUC. MFA en Teatro y Gestion Cultural de la Universidad de Columbia NY,,,,,,,,,,,,,,
D17-001,17,Maria Quinteros,SI,0,acepta,Mujer,Maule,Asamblea Popular por la Dignidad,Apruebo Dignidad,Independiente,"PhD en Salud Publica, investigadora y academica universitaria. Experiencia clinica y de gestion en Atencion Primaria de Salud por 8 años. Sus lineas de investigacion son Epidemiologia ambiental, perinatal y reproductiva, siendo su area de interes la gestacion, contaminacion del aire, el espacio verde y sustentabilidad (Fuente SOCHEPI)","Gran interes en medio ambiente, se autodenomina ambientalista.",,,,,,,,,,,,,
D17-014,17,Paola Grandon,SI,0,acepta,Mujer,Maule,Apruebo Dignidad,Apruebo Dignidad,Federacion Regionalista Verde Social,Solo se encuentra que es actvista y religiosa,,,,,,,,,,,,,,
D17-015,17,Roberto Celedon,SI,0,acepta,Hombre,Maule,Apruebo Dignidad,Lista del Pueblo (UNIFICADA),Federacion Regionalista Verde Social,"Abogado de Derechos Humanos. En el golpe de Estado fue detenido y busco exilio en Holanda. Años despues vuelve a Chile y continua desempeañandose como abogado para, segun el, defender a los mas vulnerables.","Numero de telefono de lugar de trabajo (""Celedon & Bulnes asociados"") (71) 221 8229",,,,,,,,,,,,,
D17-032,17,Elsa Labraña,SI,0,Omite,Mujer,Maule,La Lista del Pueblo,Lista del Apruebo,Independiente,"Parte de la organizacion eco-feminista ""Colectivo de Mujeres de Curico"".  Participante de varios movimientos sociales como NO+AFP, Asamblea Constituyente, No al TPP, Rios libres y Proteccion de las Semillas.",Telefono de la lista: +56933194014  correo lista: info@granlistaindependiente.cl,,,,,,,,,,,,,
D17-044,17,Christian Viera,SI,0,acepta,Hombre,Maule,Lista del Apruebo,Vamos por Chile,Independiente,"Es profesor titular de la Escuela de Derecho de la Universidad de Valparaiso. Ha publicado una decena de articulos sobre sus lineas de investigacion, coautor de ""La Constitucion chilena (2015, Santiago, Lom ediciones) y La Constitucion que queremos (2019, Santiago, Lom ediciones)"".",,,,,,,,,,,,,,
D17-045,17,Barbara Rebolledo,SI,0,Omite,Mujer,Maule,Vamos por Chile,Vamos por Chile,Independiente,"Periodista, ha trabajado por 27 años en television.","Sobre agua: ""El agua debe ser consagrada como un bien nacional de uso publico""",,,,,,,,,,,,,
D17-048,17,Alfredo Moreno,SI,0,Omite,Hombre,Maule,Vamos por Chile,Lista del Pueblo (UNIFICADA),Independiente,"Ingeniero Comercial, director Escuadra Ecuestre Palmas de Peñaflor y del Criadero de Caballos Chilenos.",Le apasiona el rodeo,,,,,,,,,,,,,
D18-006,18,Francisca Arauna,SI,0,acepta,Mujer,Maule,La Lista del Pueblo Maule Sur,Lista del Pueblo (UNIFICADA),Independiente,Abogada litigante,,,,,,,,,,,,,,
D18-010,18,Fernando Salinas,SI,0,acepta,Hombre,Maule,La Lista del Pueblo Maule Sur,Lista del Apruebo,Independiente,"Ingeniero civil, ambientalista y egresado de filosofia",,,,,,,,,,,,,,
D18-016,18,Ricardo Montero,SI,0,acepta,Hombre,Maule,Lista del Apruebo,Vamos por Chile,Partido Socialista de Chile,"Abogado, Master en Defensa y Seguridad y  Relaciones Internacionales.",,,,,,,,,,,,,,
D18-017,18,Patricia Labra,SI,0,Omite,Mujer,Maule,Vamos por Chile,Lista del Pueblo (UNIFICADA),Renovacion Nacional,Coordinadora regional del SENAMA en Maule.Abogada,,,,,,,,,,,,,,
D19-014,19,Cesar Uribe,SI,0,acepta,Hombre,Ñuble,"Fuerza Social de Ñuble, La Lista del Pueblo",Independientes No Neutrales (UNIFICADA),Independiente,"Activista SocioAmbiental, defensor del Agua, Arquitecto, SanFabianino.",,,,,,,,,,,,,,
D19-019,19,Carolina Sepulveda,SI,0,acepta,Mujer,Ñuble,Independientes de Ñuble por la Nueva Constitucion,Lista del Apruebo,Independiente,,,,,,,,,,,,,,,
D19-027,19,Felipe Harboe,SI,0,Omite,Hombre,Ñuble,Lista del Apruebo,Vamos por Chile,Partido por la Democracia,,,,,,,,,,,,,,,
D19-035,19,Margarita Letelier,SI,0,Omite,Mujer,Ñuble,Vamos por Chile,Vamos por Chile,Union Democrata Independiente,,,,,,,,,,,,,,,
D19-036,19,Martin Arrau,SI,0,Omite,Hombre,Ñuble,Vamos por Chile,Apruebo Dignidad,Union Democrata Independiente,Ingeniero Civil de Industrias y Agricultor.,,,,,,,,,,,,,,
D20-007,20,Amaya Alvez,SI,0,acepta,Mujer,Bio-Bio,Apruebo Dignidad,Asamblea Popular Constituyente,Revolucion Democratica,Doctora en derecho,,,,,,,,,,,,,,
D20-010,20,Bastian Labbe,SI,0,acepta,Hombre,Bio-Bio,Asamblea Popular Constituyente,Independientes No Neutrales (UNIFICADA),Independiente,Profesor de Historia y Geografia. Educador ambiental y Activista socioambiental.,Vocero de Coordinadorawallpen,,,,,,,,,,,,,
D20-017,20,Tammy Pustilnick,SI,0,acepta,Mujer,Bio-Bio,Independientes de Biobio por la Nueva Constitucion,Lista del Pueblo (UNIFICADA),Independiente,Abogada especializada en DD.HH y Genero. Cofundadora y Presidenta de Descentralizadas,,,,,,,,,,,,,,
D20-027,20,Rossana Vidal,SI,0,acepta,Mujer,Bio-Bio,La Lista del Pueblo,Lista del Apruebo,Independiente,"Enfermera, abogada, docente. Magister en Bioetica",,,,,,,,,,,,,,
D20-036,20,Andres Cruz Carrasco,SI,0,acepta,Hombre,Bio-Bio,Lista del Apruebo,Vamos por Chile,Independiente,"Abogado, Doctor Derecho",,,,,,,,,,,,,,
D20-053,20,Rocio Cantuarias,SI,0,Omite,Mujer,Bio-Bio,Vamos por Chile,Vamos por Chile,Independiente,,https://www.instagram.com/p/CLfjGF2Fo1J/,,,,,,,,,,,,,
D20-056,20,Luciano Silva,SI,0,Omite,Hombre,Bio-Bio,Vamos por Chile,Apruebo Dignidad,Renovacion Nacional,"Teologo, Pastor",,,,,,,,,,,,,,
D21-001,21,Vanessa Hoppe,SI,0,acepta,Mujer,Bio-Bio,Apruebo Dignidad,Independientes No Neutrales (UNIFICADA),Independiente,Abogada Abofem Biobio,https://eluniversal.cl/2021/01/15/entrevista-feminismo-inclusivo-vanessa-hoppe-espoz-una-alternativa-constituyente/,,,,,,,,,,,,,
D21-016,21,Javier Fuchslocher,SI,0,acepta,Hombre,Bio-Bio,Independientes por una Nueva Constitucion,Lista del Apruebo,Independiente,Profesor de Historia,,,,,,,,,,,,,,
D21-022,21,Luis Barcelo,SI,0,acepta,Hombre,Bio-Bio,Lista del Apruebo,Vamos por Chile,Independiente,,https://www.instagram.com/p/CKjvxHYlnQD/,,,,,,,,,,,,,
D21-033,21,Paulina Veloso,SI,0,Omite,Mujer,Bio-Bio,Vamos por Chile,Lista del Apruebo,Renovacion Nacional,"Licenciada en derecho, diplomada en gestion cultural y liderazgo social",,,,,,,,,,,,,,
D22-012,22,Fuad Chahin,SI,0,acepta,Hombre,Araucania,Lista del Apruebo,Vamos por Chile,Democrata Cristiano,"Abogado y politico del Partido Democrata Cristiano. Diputado por el Distrito Nº 49, Region de La Araucania, por los periodos 2010-2014 y 2014-2018.",,,,,,,,,,,,,,
D22-023,22,Ruth Hurtado,SI,0,Omite,Mujer,Araucania,Vamos por Chile,Vamos por Chile,Independiente,"Asesora Parlamentaria, Presidenta y vocera de Mujeres por La Araucania, Socia de Corporacion Mas Mujeres lideres, Estudiante de Derecho.",,,,,,,,,,,,,,
D22-028,22,Eduardo Cretton,SI,0,Omite,Hombre,Araucania,Vamos por Chile,Apruebo Dignidad,Union Democrata Independiente,"Licenciado de Derecho, dirigente estudiantil",,,,,,,,,,,,,,
